Ruc|Nombre/Razon|A partir del|Resolucion|
20100014808|FUNDICION VENTANILLA S A|01/06/2002|RS R.S.037-2002|
20269863626|FURSYS S.A|01/06/2002|RS R.S.037-2002|
20100095531|G & N ROJAS S.A.|01/06/2002|RS R.S.037-2002|
20100030838|G W YICHANG & CIA S A|01/06/2002|RS R.S.037-2002|
20100154057|G Y M S.A.|01/09/2004|RS R.S.184-2004|
20123444656|GALLOS MARMOLERIA SA|01/02/2004|RS R.S. 008-2004|
20507314644|GAMING AND TECHNOLOGY PERU S.A.|01/10/2005|RS R.S.174-2005|
20155261570|GANADERA SANTA ELENA S A|01/02/2003|RS R.S.181-2002|
20504004415|GANDULES INC SAC|01/02/2006|RS R.S.254-2005|
20100417082|GARCIA PERSICO S. A. C.|01/06/2002|RS R.S.037-2002|
20526867255|GARCILASO REPRESENTACIONES S.A.C.|02/05/2011|RS R.S.082-2011|
20508108282|GARMENT INDUSTRIES S.A.C.|01/02/2006|RS R.S.254-2005|
20503758114|GAS NATURAL DE LIMA Y CALLAO S.A.|01/11/2003|RS R.S. 184-2003|
20101313833|GASOLINERAS S.A.C.|01/06/2002|RS R.S.037-2002|
20341848955|GATE GOURMET PERU S.R.L.|01/06/2002|RS R.S.037-2002|
20524269440|GAVILON PERU S.R.L.|02/05/2011|RS R.S.082-2011|
20417773542|GENERADORA DE ENERGIA DEL PERU S.A.|01/12/2010|RS R.S.295-2010|
20153275450|GENFAR PERU S.A.|01/06/2002|RS R.S.037-2002|
20100135699|GEOTEC S A|01/06/2002|RS R.S.037-2002|
20101334679|GEOTECNIA  PERUANA SR LTDA|01/06/2002|RS R.S.037-2002|
20222053154|GERENCIA REGIONAL DE EDUCACION LA LIBERTAD|01/11/2002|RS R.S.135-2002|
20218911189|GERENCIA REGIONAL DE SALUD LA LIBERTAD|01/11/2002|RS R.S.135-2002|
20423195119|GILAT TO HOME PERU S.A.|01/02/2004|RS R.S. 008-2004|
20512041826|GIRALDO CONSULTORES S.A.C.|01/01/2010|RS R.S.265-2009|
20100123682|GLAXOSMITHKLINE PERU S.A.|01/06/2002|RS R.S.037-2002|
20524489300|GLENCORE PERU S.A.C.|02/05/2011|RS R.S.082-2011|
20508528656|GLOBAL ALIMENTOS S.A.C.|01/08/2006|RS R.S.091-2006|
20252575457|GLOBAL CROSSING PERU S.A.|01/05/2003|RS R.S.080-2003|
